[run number],n-turtles,spread-chance,pop-weight,n-groups,familiarity-inc,group-tightness,fam-weight,[steps],proportion
216,100,0,0.1,10,0.1,0.3,1,5000,0.92
217,100,0,0.1,10,0.1,0.3,1,341,1
218,100,0,0.1,10,0.1,0.3,1,5000,0.59
219,100,0,0.1,10,0.1,0.3,1,5000,0.54
220,100,0,0.1,10,0.1,0.3,1,5000,0.5
221,100,0,0.2,10,0.1,0.3,0,5000,0.51
222,100,0,0.2,10,0.1,0.3,0,5000,0.51
223,100,0,0.2,10,0.1,0.3,0,5000,0.83
224,100,0,0.2,10,0.1,0.3,0,5000,0.6
225,100,0,0.2,10,0.1,0.3,0,5000,0.55
226,100,0,0.2,10,0.1,0.3,0,5000,0.55
227,100,0,0.2,10,0.1,0.3,0,5000,0.63
228,100,0,0.2,10,0.1,0.3,0,5000,0.77
229,100,0,0.2,10,0.1,0.3,0,336,1
230,100,0,0.2,10,0.1,0.3,0,5000,0.81
231,100,0,0.2,10,0.1,0.3,0.1,5000,0.59
232,100,0,0.2,10,0.1,0.3,0.1,5000,0.68
233,100,0,0.2,10,0.1,0.3,0.1,5000,0.69
234,100,0,0.2,10,0.1,0.3,0.1,5000,0.57
235,100,0,0.2,10,0.1,0.3,0.1,5000,0.55
236,100,0,0.2,10,0.1,0.3,0.1,5000,0.51
237,100,0,0.2,10,0.1,0.3,0.1,5000,0.51
238,100,0,0.2,10,0.1,0.3,0.1,5000,0.65
239,100,0,0.2,10,0.1,0.3,0.1,390,1
240,100,0,0.2,10,0.1,0.3,0.1,5000,0.75
241,100,0,0.2,10,0.1,0.3,0.2,416,1
242,100,0,0.2,10,0.1,0.3,0.2,5000,0.53
243,100,0,0.2,10,0.1,0.3,0.2,5000,0.77
244,100,0,0.2,10,0.1,0.3,0.2,2556,1
245,100,0,0.2,10,0.1,0.3,0.2,277,1
246,100,0,0.2,10,0.1,0.3,0.2,5000,0.6
247,100,0,0.2,10,0.1,0.3,0.2,5000,0.55
248,100,0,0.2,10,0.1,0.3,0.2,5000,0.63
249,100,0,0.2,10,0.1,0.3,0.2,5000,0.57
250,100,0,0.2,10,0.1,0.3,0.2,5000,0.57
251,100,0,0.2,10,0.1,0.3,0.3,370,1
252,100,0,0.2,10,0.1,0.3,0.3,5000,0.66
253,100,0,0.2,10,0.1,0.3,0.3,5000,0.53
254,100,0,0.2,10,0.1,0.3,0.3,5000,0.64
255,100,0,0.2,10,0.1,0.3,0.3,5000,0.59
256,100,0,0.2,10,0.1,0.3,0.3,5000,0.61
257,100,0,0.2,10,0.1,0.3,0.3,5000,0.77
258,100,0,0.2,10,0.1,0.3,0.3,5000,0.56
259,100,0,0.2,10,0.1,0.3,0.3,5000,0.81
260,100,0,0.2,10,0.1,0.3,0.3,5000,0.56
261,100,0,0.2,10,0.1,0.3,0.4,5000,0.51
262,100,0,0.2,10,0.1,0.3,0.4,5000,0.59
263,100,0,0.2,10,0.1,0.3,0.4,5000,0.57
264,100,0,0.2,10,0.1,0.3,0.4,5000,0.55
265,100,0,0.2,10,0.1,0.3,0.4,5000,0.62
266,100,0,0.2,10,0.1,0.3,0.4,5000,0.63
267,100,0,0.2,10,0.1,0.3,0.4,351,1
268,100,0,0.2,10,0.1,0.3,0.4,5000,0.67
269,100,0,0.2,10,0.1,0.3,0.4,5000,0.58
270,100,0,0.2,10,0.1,0.3,0.4,5000,0.55
271,100,0,0.2,10,0.1,0.3,0.5,5000,0.67
272,100,0,0.2,10,0.1,0.3,0.5,5000,0.72
273,100,0,0.2,10,0.1,0.3,0.5,305,1
274,100,0,0.2,10,0.1,0.3,0.5,5000,0.64
275,100,0,0.2,10,0.1,0.3,0.5,5000,0.62
276,100,0,0.2,10,0.1,0.3,0.5,5000,0.53
277,100,0,0.2,10,0.1,0.3,0.5,5000,0.51
278,100,0,0.2,10,0.1,0.3,0.5,5000,0.87
279,100,0,0.2,10,0.1,0.3,0.5,5000,0.6
280,100,0,0.2,10,0.1,0.3,0.5,5000,0.93
281,100,0,0.2,10,0.1,0.3,0.6,5000,0.56
282,100,0,0.2,10,0.1,0.3,0.6,5000,0.87
283,100,0,0.2,10,0.1,0.3,0.6,5000,0.62
284,100,0,0.2,10,0.1,0.3,0.6,497,1
285,100,0,0.2,10,0.1,0.3,0.6,5000,0.69
286,100,0,0.2,10,0.1,0.3,0.6,5000,0.58
287,100,0,0.2,10,0.1,0.3,0.6,5000,0.7
288,100,0,0.2,10,0.1,0.3,0.6,5000,0.71
289,100,0,0.2,10,0.1,0.3,0.6,5000,0.63
290,100,0,0.2,10,0.1,0.3,0.6,5000,0.51
291,100,0,0.2,10,0.1,0.3,0.7,3035,1
292,100,0,0.2,10,0.1,0.3,0.7,5000,0.71
293,100,0,0.2,10,0.1,0.3,0.7,5000,0.62
294,100,0,0.2,10,0.1,0.3,0.7,5000,0.7
295,100,0,0.2,10,0.1,0.3,0.7,5000,0.55
296,100,0,0.2,10,0.1,0.3,0.7,351,1
297,100,0,0.2,10,0.1,0.3,0.7,5000,0.82
298,100,0,0.2,10,0.1,0.3,0.7,5000,0.81
299,100,0,0.2,10,0.1,0.3,0.7,5000,0.53
300,100,0,0.2,10,0.1,0.3,0.7,5000,0.52
301,100,0,0.2,10,0.1,0.3,0.8,5000,0.58
302,100,0,0.2,10,0.1,0.3,0.8,5000,0.54
303,100,0,0.2,10,0.1,0.3,0.8,5000,0.73
304,100,0,0.2,10,0.1,0.3,0.8,5000,0.53
305,100,0,0.2,10,0.1,0.3,0.8,5000,0.58
306,100,0,0.2,10,0.1,0.3,0.8,5000,0.52
307,100,0,0.2,10,0.1,0.3,0.8,5000,0.73
308,100,0,0.2,10,0.1,0.3,0.8,5000,0.77
309,100,0,0.2,10,0.1,0.3,0.8,5000,0.53
310,100,0,0.2,10,0.1,0.3,0.8,5000,0.58
311,100,0,0.2,10,0.1,0.3,0.9,5000,0.51
312,100,0,0.2,10,0.1,0.3,0.9,5000,0.74
313,100,0,0.2,10,0.1,0.3,0.9,5000,0.62
314,100,0,0.2,10,0.1,0.3,0.9,5000,0.7
315,100,0,0.2,10,0.1,0.3,0.9,5000,0.71
316,100,0,0.2,10,0.1,0.3,0.9,5000,0.73
317,100,0,0.2,10,0.1,0.3,0.9,5000,0.6
318,100,0,0.2,10,0.1,0.3,0.9,5000,0.72
319,100,0,0.2,10,0.1,0.3,0.9,5000,0.52
320,100,0,0.2,10,0.1,0.3,0.9,5000,0.6
321,100,0,0.2,10,0.1,0.3,1,5000,0.53
322,100,0,0.2,10,0.1,0.3,1,5000,0.58
323,100,0,0.2,10,0.1,0.3,1,5000,0.72
324,100,0,0.2,10,0.1,0.3,1,5000,0.57
325,100,0,0.2,10,0.1,0.3,1,5000,0.82
326,100,0,0.2,10,0.1,0.3,1,5000,0.61
327,100,0,0.2,10,0.1,0.3,1,5000,0.58
328,100,0,0.2,10,0.1,0.3,1,406,1
329,100,0,0.2,10,0.1,0.3,1,5000,0.73
330,100,0,0.2,10,0.1,0.3,1,5000,0.68
331,100,0,0.3,10,0.1,0.3,0,5000,0.83
332,100,0,0.3,10,0.1,0.3,0,5000,0.99
333,100,0,0.3,10,0.1,0.3,0,5000,0.61
334,100,0,0.3,10,0.1,0.3,0,5000,0.55
335,100,0,0.3,10,0.1,0.3,0,5000,0.9
336,100,0,0.3,10,0.1,0.3,0,469,1
337,100,0,0.3,10,0.1,0.3,0,5000,0.64
338,100,0,0.3,10,0.1,0.3,0,5000,0.55
339,100,0,0.3,10,0.1,0.3,0,5000,0.79
340,100,0,0.3,10,0.1,0.3,0,5000,0.6
341,100,0,0.3,10,0.1,0.3,0.1,5000,0.55
342,100,0,0.3,10,0.1,0.3,0.1,5000,0.61
343,100,0,0.3,10,0.1,0.3,0.1,5000,0.75
344,100,0,0.3,10,0.1,0.3,0.1,5000,0.57
345,100,0,0.3,10,0.1,0.3,0.1,5000,0.64
346,100,0,0.3,10,0.1,0.3,0.1,5000,0.88
347,100,0,0.3,10,0.1,0.3,0.1,5000,0.94
348,100,0,0.3,10,0.1,0.3,0.1,5000,0.67
349,100,0,0.3,10,0.1,0.3,0.1,5000,0.68
350,100,0,0.3,10,0.1,0.3,0.1,5000,0.69
351,100,0,0.3,10,0.1,0.3,0.2,5000,0.52
352,100,0,0.3,10,0.1,0.3,0.2,390,1
353,100,0,0.3,10,0.1,0.3,0.2,5000,0.78
354,100,0,0.3,10,0.1,0.3,0.2,5000,0.67
355,100,0,0.3,10,0.1,0.3,0.2,5000,0.54
356,100,0,0.3,10,0.1,0.3,0.2,5000,0.6
357,100,0,0.3,10,0.1,0.3,0.2,5000,0.54
358,100,0,0.3,10,0.1,0.3,0.2,319,1
359,100,0,0.3,10,0.1,0.3,0.2,5000,0.62
360,100,0,0.3,10,0.1,0.3,0.2,5000,0.74
361,100,0,0.3,10,0.1,0.3,0.3,5000,0.71
362,100,0,0.3,10,0.1,0.3,0.3,334,1
363,100,0,0.3,10,0.1,0.3,0.3,5000,0.61
364,100,0,0.3,10,0.1,0.3,0.3,5000,0.56
365,100,0,0.3,10,0.1,0.3,0.3,5000,0.54
366,100,0,0.3,10,0.1,0.3,0.3,5000,0.51
367,100,0,0.3,10,0.1,0.3,0.3,353,1
368,100,0,0.3,10,0.1,0.3,0.3,5000,0.72
369,100,0,0.3,10,0.1,0.3,0.3,5000,0.61
370,100,0,0.3,10,0.1,0.3,0.3,5000,0.51
371,100,0,0.3,10,0.1,0.3,0.4,5000,0.56
372,100,0,0.3,10,0.1,0.3,0.4,5000,0.6
373,100,0,0.3,10,0.1,0.3,0.4,5000,0.62
374,100,0,0.3,10,0.1,0.3,0.4,5000,0.62
375,100,0,0.3,10,0.1,0.3,0.4,305,1
376,100,0,0.3,10,0.1,0.3,0.4,5000,0.54
377,100,0,0.3,10,0.1,0.3,0.4,5000,0.62
378,100,0,0.3,10,0.1,0.3,0.4,5000,0.72
379,100,0,0.3,10,0.1,0.3,0.4,273,1
380,100,0,0.3,10,0.1,0.3,0.4,628,1
381,100,0,0.3,10,0.1,0.3,0.5,5000,0.64
382,100,0,0.3,10,0.1,0.3,0.5,5000,0.6
383,100,0,0.3,10,0.1,0.3,0.5,5000,0.54
384,100,0,0.3,10,0.1,0.3,0.5,5000,0.64
385,100,0,0.3,10,0.1,0.3,0.5,5000,0.59
386,100,0,0.3,10,0.1,0.3,0.5,5000,0.56
387,100,0,0.3,10,0.1,0.3,0.5,5000,0.52
388,100,0,0.3,10,0.1,0.3,0.5,5000,0.52
389,100,0,0.3,10,0.1,0.3,0.5,5000,0.59
390,100,0,0.3,10,0.1,0.3,0.5,5000,0.57
391,100,0,0.3,10,0.1,0.3,0.6,5000,0.57
392,100,0,0.3,10,0.1,0.3,0.6,5000,0.68
393,100,0,0.3,10,0.1,0.3,0.6,5000,0.57
394,100,0,0.3,10,0.1,0.3,0.6,366,1
395,100,0,0.3,10,0.1,0.3,0.6,5000,0.5
396,100,0,0.3,10,0.1,0.3,0.6,5000,0.59
397,100,0,0.3,10,0.1,0.3,0.6,5000,0.85
398,100,0,0.3,10,0.1,0.3,0.6,5000,0.68
399,100,0,0.3,10,0.1,0.3,0.6,5000,0.81
400,100,0,0.3,10,0.1,0.3,0.6,5000,0.69
401,100,0,0.3,10,0.1,0.3,0.7,5000,0.68
402,100,0,0.3,10,0.1,0.3,0.7,5000,0.66
403,100,0,0.3,10,0.1,0.3,0.7,5000,0.61
404,100,0,0.3,10,0.1,0.3,0.7,5000,0.6
405,100,0,0.3,10,0.1,0.3,0.7,245,1
406,100,0,0.3,10,0.1,0.3,0.7,271,1
407,100,0,0.3,10,0.1,0.3,0.7,5000,0.5
408,100,0,0.3,10,0.1,0.3,0.7,5000,0.64
409,100,0,0.3,10,0.1,0.3,0.7,5000,0.54
410,100,0,0.3,10,0.1,0.3,0.7,5000,0.69
411,100,0,0.3,10,0.1,0.3,0.8,5000,0.64
412,100,0,0.3,10,0.1,0.3,0.8,5000,0.51
413,100,0,0.3,10,0.1,0.3,0.8,5000,0.6
414,100,0,0.3,10,0.1,0.3,0.8,5000,0.51
415,100,0,0.3,10,0.1,0.3,0.8,5000,0.54
416,100,0,0.3,10,0.1,0.3,0.8,5000,0.65
417,100,0,0.3,10,0.1,0.3,0.8,5000,0.7
418,100,0,0.3,10,0.1,0.3,0.8,5000,0.66
419,100,0,0.3,10,0.1,0.3,0.8,5000,0.59
